ISBN, NOMBRE DE LIBRO, AUTOR, EDITORIAL, AÑO
978-950-738-172-3,Ficciones,Jorge Luis Borges,Emecé,2008
978-950-49-3127-3,Sinceramente,Cristina Fernández de Kirchner,Sudamericana,2019
978-950-45-3283-6,La Voluntad,Mauricio Macri,Penguin Random House,2019
978-987-629-440-5,El hombre que no fue,Jorge Lanata,Sudamericana,2017
978-950-49-3348-4,La Argentina que yo quiero,Alberto Fernández,Planeta,2019
978-950-07-4284-5,Relatos K,Horacio Verbitsky,Sudamericana,2010
978-950-49-3531-0,La Bisagra,Ricardo Alfonsín,Sudamericana,2018
978-987-629-627-4,De la Patria Peronista a la Patria Socialista,Eduardo Duhalde,Editorial Universitaria de Buenos Aires,2012
978-950-45-2823-7,Hacia una Argentina sin grieta,Elisa Carrió,Penguin Random House,2016
978-950-738-192-1,La libertad es un valor,Patricia Bullrich,Sudamericana,2018
978-950-45-2718-3,El país que queremos,Sergio Massa,Penguin Random House,2015
978-950-738-514-2,La Argentina en el mundo,Felipe Solá,Siglo XXI Editores,2019
978-987-629-972-5,La década ganada,Axel Kicillof,Capital Intelectual,2012
978-950-45-3021-5,El futuro de la Argentina,Martín Lousteau,Penguin Random House,2017
978-950-738-014-4,La Argentina después del kirchnerismo,Marcos Aguinis,Planeta,2016
978-950-49-3811-3,El kirchnerismo: Una historia de poder,María Seoane y Víctor Hugo Morales,Sudamericana,2010
978-950-45-3311-6,Emprender: El valor de animarse,Marcos Galperín,Penguin Random House,2019
978-950-07-4204-3,El camino del CEO,Eduardo Elsztain,Sudamericana,2016
978-987-629-897-1,Innovar o morir,Martín Varsavsky,Ediciones B,2018
978-950-49-3086-7,Los desafíos del liderazgo,Alejandro Bulgheroni,Aguilar,2017
978-950-738-400-7,La aventura del management,Juan Carlos de Pablo,Paidós,2012
978-950-45-2466-3,Mujeres que inspiran,Sandra Pitta,Sudamericana,2015
978-950-738-624-7,El futuro del trabajo,Gustavo Grobocopatel,Penguin Random House,2019
978-950-07-3984-1,Negocios y valores,Cristiano Rattazzi,Sudamericana,2011
978-950-49-4338-1,La economía argentina: Una mirada desde adentro,Miguel Kiguel,Taurus,2018
978-950-45-2921-4,El desafío argentino,Federico Sturzenegger,Sudamericana,2017
978-950-738-074-8,La Argentina que viene,Marcos Peña,Penguin Random House,2018
978-950-49-3702-2,La educación que necesitamos,Santiago Kovadloff,Paidós,2010
978-950-738-294-1,El poder de la innovación,Andrés Oppenheimer,Sudamericana,2014
978-987-629-570-5,Argentina 2030,Bernardo Kosacoff,Siglo XXI Editores,2012
978-950-45-2585-1,El fin del kirchnerismo,Luis Majul,Penguin Random House,2015
978-950-45-2993-1,Yo soy el Diego,Diego Maradona,Sudamericana,2000
978-987-629-380-3,La cocina de Maru,Maru Botana,Planeta,2012
978-950-49-2865-8,Relatos de un náufrago,Gabriel García Márquez,Alfaguara,2017
978-950-738-594-7,El camino de la felicidad,Dalai Lama,Sudamericana,2019
978-950-49-3246-1,Manual del perfecto idiota latinoamericano,Plinio Apuleyo Mendoza,Debate,2010
978-950-738-122-9,Historias de mi vida,Susana Giménez,Alfaguara,2011
978-950-45-2150-4,El libro de los abrazos,Eduardo Galeano,Siglo XXI Editores,2011
978-950-738-394-9,Indomable,Facundo Manes,Sudamericana,2019
978-950-45-3128-8,La vida es bella,Roberto Benigni,Alfaguara,1997
978-950-738-024-0,El Principito,Antoine de Saint-Exupéry,Emecé,2019
978-950-45-2631-1,Sapiens: Una breve historia de la humanidad,Yuval Noah Harari,Debate,2015
978-950-738-494-6,Homo Deus: Breve historia del mañana,Yuval Noah Harari,Debate,2017
978-950-45-3377-3,21 lecciones para el siglo XXI,Yuval Noah Harari,Debate,2018
978-950-738-688-9,"Futbolística: Memorias, reflexiones, confesiones",Jorge Valdano,Taurus,2019
978-950-45-3222-3,La batalla de las ideas,Mario Vargas Llosa,Alfaguara,2019
978-987-8915-12-8,Dante x Alonso,Ernesto Sábato,Ministerio de Cultura de la Nación,2021
978-987-580-846-1,Informe sobre ciegos,Ernesto Sábato,Booket,2016
978-987-8317-73-1,Antes del fin,Ernesto Sábato,Booket,2020
978-987-3773-00-6,Lecturas de economía en tiempos del kirchserismo,Javier Milei,Barbarroja Lib,2014
978-950-08-4034-7,"Roma, la ciudad de los emperadores",Rodolfo Piovera,Billiken: Jorge de Luján Guitierrez,2012
978-950-49-3692-3,Usar el cerebro,Facundo Manes y Mateo Niro,Planeta,2014
